epoch,epoch_train_loss,epoch_val_loss,num_decay_params,num_nodecay_params,step,total_params,train_loss_epoch,train_loss_step,trainable_params,val_loss
16,4.127615451812744,,,,1274,,4.12613582611084,,,
17,,,,,1279,,,4.091737270355225,,
17,,,,,1284,,,4.020181655883789,,
17,,,,,1289,,,4.003675937652588,,
17,,,,,1294,,,3.935124158859253,,
17,,,,,1299,,,3.9658637046813965,,
17,,4.6053690910339355,,,1299,,,,,4.60444450378418
17,,,,,1304,,,3.9322683811187744,,
17,,,,,1309,,,4.147753715515137,,
17,,,,,1314,,,4.001884460449219,,
17,,,,,1319,,,4.118896484375,,
17,,,,,1324,,,4.124630451202393,,
17,,4.587305545806885,,,1324,,,,,4.586345195770264
17,,,,,1329,,,4.069718360900879,,
17,,,,,1334,,,4.129851341247559,,
17,,,,,1339,,,4.157101631164551,,
17,,,,,1344,,,4.0455451011657715,,
17,,,,,1349,,,4.04924201965332,,
17,,4.575740814208984,,,1349,,,,,4.577558517456055
17,4.083030700683594,,,,1349,,4.083386421203613,,,
18,,,,,1354,,,4.018409729003906,,
18,,,,,1359,,,3.9839401245117188,,
18,,,,,1364,,,3.986410617828369,,
18,,,,,1369,,,4.0295562744140625,,
18,,,,,1374,,,4.065031051635742,,
18,,4.597196578979492,,,1374,,,,,4.600958824157715
18,,,,,1379,,,4.017439842224121,,
18,,,,,1384,,,4.079362869262695,,
18,,,,,1389,,,3.956679582595825,,
18,,,,,1394,,,4.132041931152344,,
18,,,,,1399,,,3.9866063594818115,,
18,,4.5870585441589355,,,1399,,,,,4.5879974365234375
18,,,,,1404,,,4.002491474151611,,
18,,,,,1409,,,4.081860065460205,,
18,,,,,1414,,,4.017225742340088,,
18,,,,,1419,,,4.074765205383301,,
18,,,,,1424,,,4.161942958831787,,
18,,4.575798034667969,,,1424,,,,,4.576982498168945
18,4.048009395599365,,,,1424,,4.046810150146484,,,
19,,,,,1429,,,3.876591205596924,,
19,,,,,1434,,,3.992164134979248,,
19,,,,,1439,,,4.002109527587891,,
19,,,,,1444,,,3.9265265464782715,,
19,,,,,1449,,,4.017718315124512,,
19,,4.604162216186523,,,1449,,,,,4.606592655181885
19,,,,,1454,,,3.9585070610046387,,
19,,,,,1459,,,4.011292457580566,,
19,,,,,1464,,,3.940256118774414,,
19,,,,,1469,,,4.058530330657959,,
19,,,,,1474,,,4.045285224914551,,
19,,4.616580486297607,,,1474,,,,,4.615418434143066
19,,,,,1479,,,4.19251823425293,,
19,,,,,1484,,,4.143850326538086,,
19,,,,,1489,,,4.08380126953125,,
19,,,,,1494,,,4.075758934020996,,
19,,,,,1499,,,4.171106338500977,,
19,,4.573336124420166,,,1499,,,,,4.575533866882324
19,4.011900901794434,,,,1499,,4.010223865509033,,,
20,,,,,1504,,,3.904898166656494,,
20,,,,,1509,,,3.89861798286438,,
20,,,,,1514,,,3.9612274169921875,,
20,,,,,1519,,,4.016904830932617,,
20,,,,,1524,,,3.9355342388153076,,
20,,4.6129150390625,,,1524,,,,,4.6148834228515625
20,,,,,1529,,,3.853611469268799,,
20,,,,,1534,,,3.9813456535339355,,
20,,,,,1539,,,4.018838882446289,,
20,,,,,1544,,,3.9387075901031494,,
20,,,,,1549,,,4.036112308502197,,
20,,4.603323936462402,,,1549,,,,,4.604680061340332
20,,,,,1554,,,4.061801910400391,,
20,,,,,1559,,,4.094163417816162,,
20,,,,,1564,,,3.940441608428955,,
20,,,,,1569,,,4.064114093780518,,
20,,,,,1574,,,3.934030532836914,,
20,,4.598366737365723,,,1574,,,,,4.600048065185547
20,3.9752097129821777,,,,1574,,3.975642204284668,,,
21,,,,,1579,,,3.947077751159668,,
21,,,,,1584,,,3.9123544692993164,,
21,,,,,1589,,,3.825876474380493,,
21,,,,,1594,,,4.037880897521973,,
21,,,,,1599,,,3.9297242164611816,,
21,,4.61843729019165,,,1599,,,,,4.618618011474609
21,,,,,1604,,,4.019195079803467,,
21,,,,,1609,,,3.9525227546691895,,
21,,,,,1614,,,3.9053256511688232,,
21,,,,,1619,,,3.996953248977661,,
21,,,,,1624,,,3.926906108856201,,
21,,4.60353946685791,,,1624,,,,,4.604217052459717
